Section ID & Heading,Recommendation / Requirement,Normative Keyword,Subtheme
8.1.27.5.15 Source,The url property for the source object is Optional.,MAY,Component Pedigree and Provenance
8.1.27.5.18 References,The references property is Optional.,MAY,Component Pedigree and Provenance
8.1.27.5.18 References,Each item of the references array must be a string.,REQUIRED,Component Pedigree and Provenance
8.1.27.6 Notes,The notes property is Optional.,MAY,Component Pedigree and Provenance
8.1.28 External References,The externalReferences property is Optional.,MAY,External References
8.1.28 External References,Each item of the externalReferences array must be an External Reference object.,REQUIRED,External References
8.1.29 Components,All items in the nested components list must be unique.,REQUIRED,Component Assemblies (Nesting)
8.1.30 Evidence,The evidence property is Optional.,MAY,Evidence and Substantiation
8.1.30 Evidence,The identity property is Optional.,MAY,Evidence and Substantiation
8.1.30 Evidence,"It is recommended that all implementations use arrays [for identity evidence], even if only one identity object is specified.",RECOMMENDED,Evidence and Substantiation
8.1.30 Evidence,The occurrences property is Optional.,MAY,Evidence and Substantiation
8.1.30 Evidence,The callstack property is Optional.,MAY,Evidence and Substantiation
8.1.30 Evidence,The licenses property is Optional.,MAY,Evidence and Substantiation
8.1.30 Evidence,The copyright property is Optional.,MAY,Evidence and Substantiation
8.1.30.1 Identity Evidence,The field property for identity evidence is Required.,REQUIRED,Evidence and Substantiation
8.1.30.1 Identity Evidence,The confidence property is Optional.,MAY,Evidence and Substantiation
8.1.30.1 Identity Evidence,The concludedValue property is Optional.,MAY,Evidence and Substantiation
8.1.30.1 Identity Evidence,The methods property is Optional.,MAY,Evidence and Substantiation
8.1.30.1 Identity Evidence,The tools property is Optional.,MAY,Evidence and Substantiation
8.1.31 Release notes,The releaseNotes property is Optional.,MAY,Descriptive Metadata
8.1.31 Release notes,The type property is Required.,REQUIRED,Descriptive Metadata
8.1.31 Release notes,The title property is Optional.,MAY,Descriptive Metadata
8.1.31 Release notes,The featuredImage property is Optional.,MAY,Descriptive Metadata
8.1.31 Release notes,The socialImage property is Optional.,MAY,Descriptive Metadata
8.1.31 Release notes,The description property is Optional.,MAY,Descriptive Metadata
8.1.31 Release notes,The timestamp property is Optional.,MAY,Descriptive Metadata
8.1.31 Release notes,The aliases property is Optional.,MAY,Descriptive Metadata
8.1.31 Release notes,The tags property is Optional.,MAY,Descriptive Metadata
8.1.31 Release notes,The resolves property is Optional.,MAY,Descriptive Metadata
8.1.31 Release notes,The notes property is Optional.,MAY,Descriptive Metadata
8.1.31 Release notes,The properties property is Optional.,MAY,Extensibility via Properties
8.1.31 Release notes,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,Property Taxonomies
8.1.31 Release notes,Formal registration of properties is optional.,MAY,Property Taxonomies
8.1.31 Release notes,Each item of the properties array must be a Lightweight name-value pair object.,REQUIRED,Extensibility via Properties
8.1.31.1 Type,The type property is Required.,REQUIRED,Descriptive Metadata
8.1.31.7 Aliases,Each item of the aliases array must be a string.,REQUIRED,Descriptive Metadata
8.1.31.8 Tags,Each item of the tags array must be a string.,REQUIRED,Descriptive Metadata
8.1.31.9 Resolves,Each item of the resolves array must be an Issue object.,REQUIRED,Descriptive Metadata
8.1.31.9.1 Issue,The type property for an Issue object is Required.,REQUIRED,Descriptive Metadata
8.1.31.9.2 Issue Type,The type property is Required.,REQUIRED,Descriptive Metadata
8.1.31.9.9 References,Each item of the references array must be a string.,REQUIRED,Descriptive Metadata
8.1.31.10 Notes,Each item of the notes array must be a Note object.,REQUIRED,Annotations
8.1.31.10.1 Note,The text object in a Note is Required.,REQUIRED,Annotations
8.1.31.10.3 Release note content,The text property is Required.,REQUIRED,Descriptive Metadata
8.1.31.10.6 Attachment Text,The content property is Required.,REQUIRED,Descriptive Metadata
8.1.31.10.6 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,RECOMMENDED,Descriptive Metadata
8.1.31.11 Properties,Each item of this array must be a Lightweight name-value pair object.,REQUIRED,Extensibility via Properties
8.1.31.11 Properties,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,Property Taxonomies
8.1.31.11 Properties,Formal registration is optional.,MAY,Property Taxonomies
8.1.31.11.2 Name,The name property is Required.,REQUIRED,Extensibility via Properties
8.1.31.11.3 Value,The value property is Optional.,MAY,Extensibility via Properties
8.1.32 AI/ML Model Card,The modelCard property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32 AI/ML Model Card,This object SHOULD be specified for any component of type machine-learning-model.,RECOMMENDED,AI/ML Model Cards (ML-BOM)
8.1.32 AI/ML Model Card,This object must not be specified for other component types.,REQUIRED,AI/ML Model Cards (ML-BOM)
8.1.32 AI/ML Model Card,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
8.1.32 AI/ML Model Card,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
8.1.32 AI/ML Model Card,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
8.1.32 AI/ML Model Card,The modelParameters property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32 AI/ML Model Card,The quantitativeAnalysis property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32 AI/ML Model Card,The considerations property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32 AI/ML Model Card,The properties property is Optional.,MAY,Extensibility via Properties
8.1.32 AI/ML Model Card,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,Property Taxonomies
8.1.32 AI/ML Model Card,Formal registration of properties is optional.,MAY,Property Taxonomies
8.1.32 AI/ML Model Card,Each item of the properties array must be a Lightweight name-value pair object.,REQUIRED,Extensibility via Properties
8.1.32.2 Model Parameters,The approach property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32.2 Model Parameters,The task property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32.2 Model Parameters,The architectureFamily property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32.2 Model Parameters,The modelArchitecture property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32.2 Model Parameters,The datasets property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32.2 Model Parameters,The inputs property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32.2 Model Parameters,The outputs property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32.2.1 Approach,The approach property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32.2.1 Approach,The type property is Optional.,MAY,AI/ML Model Cards (ML-BOM)
8.1.32.2.6 Datasets,Each item in datasets Must be one of: Inline Data Information.,REQUIRED,Data Components and Governance
8.1.32.2.6 Datasets,Each item in datasets Must be one of: Data Reference.,REQUIRED,Data Components and Governance
8.1.32.2.7 Inline Data Information,The bom-ref property for inline data information is Optional.,MAY,Internal Referencing (bom-ref)
8.1.32.2.7 Inline Data Information,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
8.1.32.2.7 Inline Data Information,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
8.1.32.2.7 Inline Data Information,The type property for inline data information is Required.,REQUIRED,Data Components and Governance
8.1.32.2.7 Inline Data Information,The name property for inline data information is Optional.,MAY,Data Components and Governance
8.1.32.2.7 Inline Data Information,The contents property for inline data information is Optional.,MAY,Data Components and Governance
8.1.32.2.7 Inline Data Information,The classification property for inline data information is Optional.,MAY,Data Components and Governance
8.1.32.2.7 Inline Data Information,The sensitiveData property for inline data information is Optional.,MAY,Data Components and Governance
8.1.32.2.7 Inline Data Information,The graphics property for inline data information is Optional.,MAY,Data Components and Governance
8.1.32.2.7 Inline Data Information,The description property for inline data information is Optional.,MAY,Data Components and Governance
8.1.32.2.7 Inline Data Information,The governance property for inline data information is Optional.,MAY,Data Components and Governance
8.1.32.2.8 Data Reference,The ref property for a Data Reference is Optional.,MAY,Data Components and Governance
8.1.32.2.10 Type of Data,The type property (under datasets) is Required.,REQUIRED,Data Components and Governance
8.1.32.2.12 Data Contents,The attachment property for data contents is Optional.,MAY,Data Components and Governance
8.1.32.2.12 Data Contents,The url property for data contents is Optional.,MAY,Data Components and Governance
8.1.32.2.12 Data Contents,The properties property for data contents is Optional.,MAY,Extensibility via Properties
8.1.32.2.13 Data Attachment,The content property for attachment data is Required.,REQUIRED,Data Components and Governance
8.1.32.2.13 Data Attachment,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,RECOMMENDED,Data Components and Governance
8.1.32.2.16 Attachment Text,The content property is Required.,REQUIRED,Data Components and Governance
8.1.32.2.16 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,RECOMMENDED,Data Components and Governance
8.1.32.2.18 Configuration Properties,Each item of the properties array must be a Lightweight name-value pair object.,REQUIRED,Extensibility via Properties
8.1.32.2.19 Lightweight name-value pair,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,Property Taxonomies
8.1.32.2.19 Lightweight name-value pair,Formal registration of properties is optional.,MAY,Property Taxonomies
8.1.32.2.20 Name,The name property is Required.,REQUIRED,Extensibility via Properties
8.1.32.2.21 Value,The value property is Optional.,MAY,Extensibility via Properties
8.1.32.2.23 Sensitive Data,Each item of the sensitiveData array must be a string.,REQUIRED,Data Components and Governance
8.1.32.2.32 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,RECOMMENDED,Data Components and Governance
8.1.32.2.32 Attachment Text,The content property is Required.,REQUIRED,Data Components and Governance
8.1.32.2.35 Data Custodians,The custodians property is Optional.,MAY,Data Components and Governance
8.1.32.2.83 Data Owners,The owners property is Optional.,MAY,Data Components and Governance
8.1.32.2.110 Inputs,Each item of the inputs array must be an Input and Output Parameters object.,REQUIRED,AI/ML Model Cards (ML-BOM)
8.1.32.2.113 Outputs,Each item of the outputs array must be an Input and Output Parameters object.,REQUIRED,AI/ML Model Cards (ML-BOM)
8.1.33 Data,The data property is Optional.,MAY,Data Components and Governance
8.1.33 Data,This object SHOULD be specified for any component of type data.,RECOMMENDED,Data Components and Governance
8.1.33 Data,This object must not be specified for other component types.,REQUIRED,Data Components and Governance
8.1.33 Data,Each item of the data array must be a Data object.,REQUIRED,Data Components and Governance
8.1.33 Data,The bom-ref property is Optional.,MAY,Internal Referencing (bom-ref)
8.1.33 Data,Every bom-ref must be unique within the BOM.,REQUIRED,Internal Referencing (bom-ref)
8.1.33 Data,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,Internal Referencing (bom-ref)
8.1.33 Data,The type property is Required.,REQUIRED,Data Components and Governance
8.1.33 Data,The name property is Optional.,MAY,Data Components and Governance
8.1.33 Data,The contents property is Optional.,MAY,Data Components and Governance
8.1.33 Data,The classification property is Optional.,MAY,Data Components and Governance
8.1.33 Data,The sensitiveData property is Optional.,MAY,Data Components and Governance
8.1.33 Data,The graphics property is Optional.,MAY,Data Components and Governance
8.1.33 Data,The description property is Optional.,MAY,Data Components and Governance
8.1.33 Data,The governance property is Optional.,MAY,Data Components and Governance
8.1.33.1.2 Type of Data,The type property is Required.,REQUIRED,Data Components and Governance
8.1.33.1.4 Data Contents,The attachment property is Optional.,MAY,Data Components and Governance
8.1.33.1.4 Data Contents,The url property is Optional.,MAY,Data Components and Governance
8.1.33.1.4 Data Contents,The properties property is Optional.,MAY,Extensibility via Properties
8.1.33.1.5 Data Attachment,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,RECOMMENDED,Data Components and Governance
8.1.33.1.10 Configuration Properties,Each item of this array must be a Lightweight name-value pair object.,REQUIRED,Extensibility via Properties
8.1.33.1.11 Lightweight name-value pair,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,Property Taxonomies
8.1.33.1.11 Lightweight name-value pair,Formal registration is optional.,MAY,Property Taxonomies
8.1.33.1.12 Name,The name property is Required.,REQUIRED,Extensibility via Properties
8.1.33.1.13 Value,The value property is Optional.,MAY,Extensibility via Properties
8.1.33.1.15 Sensitive Data,Each item of the sensitiveData array must be a string.,REQUIRED,Data Components and Governance
8.1.33.1.16 Graphics Collection,The collection property is Optional.,MAY,Data Components and Governance
8.1.33.1.27 Data Custodians,The custodians property is Optional.,MAY,Data Components and Governance
8.1.33.1.75 Data Owners,The owners property is Optional.,MAY,Data Components and Governance
8.1.34 Cryptographic Properties,The cryptoProperties property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34 Cryptographic Properties,The assetType property is Required.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34 Cryptographic Properties,The algorithmProperties property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34 Cryptographic Properties,The certificateProperties property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34 Cryptographic Properties,The relatedCryptoMaterialProperties property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34 Cryptographic Properties,The protocolProperties property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34 Cryptographic Properties,The oid property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.1 Asset Type,The assetType property is Required.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.1 Asset Type,The assetType value Must be one of: algorithm.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.1 Asset Type,The assetType value Must be one of: certificate.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.1 Asset Type,The assetType value Must be one of: protocol.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.1 Asset Type,The assetType value Must be one of: related-crypto-material.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2 Algorithm Properties,The algorithmProperties property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2 Algorithm Properties,The primitive property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2 Algorithm Properties,The parameterSetIdentifier property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2 Algorithm Properties,The curve property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2 Algorithm Properties,The executionEnvironment property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2 Algorithm Properties,The implementationPlatform property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2 Algorithm Properties,The certificationLevel property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2 Algorithm Properties,The mode property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2 Algorithm Properties,The padding property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2 Algorithm Properties,The cryptoFunctions property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2 Algorithm Properties,The classicalSecurityLevel property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2 Algorithm Properties,The nistQuantumSecurityLevel property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: drbg.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: mac.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: block-cipher.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: stream-cipher.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: signature.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: hash.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: pke.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: xof.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: kdf.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: key-agree.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: kem.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: ae.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: combiner.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: other.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.1 primitive,The primitive value Must be one of: unknown.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.3 Elliptic Curve,The curve property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2.3 Elliptic Curve,CycloneDX recommends using curve names as defined at https://neuromancer.sk/std/.,RECOMMENDED,Cryptographic Asset Management (CBOM)
8.1.34.2.4 Execution Environment,The executionEnvironment property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2.4 Execution Environment,The executionEnvironment value Must be one of: software-plain-ram.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.4 Execution Environment,The executionEnvironment value Must be one of: software-encrypted-ram.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.4 Execution Environment,The executionEnvironment value Must be one of: software-tee.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.4 Execution Environment,The executionEnvironment value Must be one of: hardware.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.4 Execution Environment,The executionEnvironment value Must be one of: other.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.4 Execution Environment,The executionEnvironment value Must be one of: unknown.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: generic.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: x86_32.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: x86_64.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: armv7-a.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: armv7-m.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: armv8-a.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: armv8-m.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: armv9-a.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: armv9-m.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: s390x.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: ppc64.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: ppc64le.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: other.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.5 Implementation platform,The implementationPlatform value Must be one of: unknown.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certificationLevel property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,Each item of the certificationLevel array must be a string.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: none.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-1-l1.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-1-l2.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-1-l3.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-1-l4.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-2-l1.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-2-l2.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-2-l3.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-2-l4.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-3-l1.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-3-l2.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-3-l3.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: fips140-3-l4.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal1.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal1+.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal2.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal2+.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal3.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal3+.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal4.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal4+.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal5.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal5+.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal6.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal6+.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal7.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: cc-eal7+.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: other.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.6 Certification Level,The certification level value Must be one of: unknown.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.7 Mode,The mode property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2.7 Mode,The mode value Must be one of: cbc.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.7 Mode,The mode value Must be one of: ecb.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.7 Mode,The mode value Must be one of: ccm.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.7 Mode,The mode value Must be one of: gcm.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.7 Mode,The mode value Must be one of: cfb.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.7 Mode,The mode value Must be one of: ofb.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.7 Mode,The mode value Must be one of: ctr.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.7 Mode,The mode value Must be one of: other.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.7 Mode,The mode value Must be one of: unknown.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.8 Padding,The padding property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2.8 Padding,The padding value Must be one of: pkcs5.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.8 Padding,The padding value Must be one of: pkcs7.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.8 Padding,The padding value Must be one of: pkcs1v15.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.8 Padding,The padding value Must be one of: oaep.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.8 Padding,The padding value Must be one of: raw.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.8 Padding,The padding value Must be one of: other.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.8 Padding,The padding value Must be one of: unknown.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,Each item of this array must be a string.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: generate.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: keygen.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: encrypt.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: decrypt.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: digest.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: tag.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: keyderive.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: sign.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: verify.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: encapsulate.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: decapsulate.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: other.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.2.9 Cryptographic functions,The cryptoFunctions value Must be one of: unknown.,REQUIRED,Cryptographic Asset Management (CBOM)
8.1.34.3 Certificate Properties,The certificateProperties property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.3 Certificate Properties,The subjectName property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.3 Certificate Properties,The issuerName property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.3 Certificate Properties,The notValidBefore property is Optional.,MAY,Cryptographic Asset Management (CBOM)
8.1.34.3 Certificate Properties,The notValidAfter property is Optional.,MAY,Cryptographic Asset Management (CBOM)
