id,section,requirement,normative_force,initial_code,subtheme,theme,generator_consumer_axis,issue_focus,previous_single_subtheme
CDX-0435,8.1.31 Release notes,The description property is Optional.,MAY,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0436,8.1.31 Release notes,The timestamp property is Optional.,MAY,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0437,8.1.31 Release notes,The aliases property is Optional.,MAY,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0438,8.1.31 Release notes,The tags property is Optional.,MAY,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0439,8.1.31 Release notes,The resolves property is Optional.,MAY,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0440,8.1.31 Release notes,The notes property is Optional.,MAY,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0441,8.1.31 Release notes,The properties property is Optional.,MAY,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0442,8.1.31 Release notes,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,property_taxonomy_normalization,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Property Taxonomies
CDX-0443,8.1.31 Release notes,Formal registration of properties is optional.,MAY,property_taxonomy_normalization,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Property Taxonomies
CDX-0444,8.1.31 Release notes,Each item of the properties array must be a Lightweight name-value pair object.,REQUIRED,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0445,8.1.31.1 Type,The type property is Required.,REQUIRED,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0446,8.1.31.7 Aliases,Each item of the aliases array must be a string.,REQUIRED,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0447,8.1.31.8 Tags,Each item of the tags array must be a string.,REQUIRED,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0448,8.1.31.9 Resolves,Each item of the resolves array must be an Issue object.,REQUIRED,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0449,8.1.31.9.1 Issue,The type property for an Issue object is Required.,REQUIRED,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0450,8.1.31.9.2 Issue Type,The type property is Required.,REQUIRED,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0451,8.1.31.9.9 References,Each item of the references array must be a string.,REQUIRED,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0452,8.1.31.10 Notes,Each item of the notes array must be a Note object.,REQUIRED,annotation_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Annotations
CDX-0453,8.1.31.10.1 Note,The text object in a Note is Required.,REQUIRED,annotation_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Annotations
CDX-0454,8.1.31.10.3 Release note content,The text property is Required.,REQUIRED,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0455,8.1.31.10.6 Attachment Text,The content property is Required.,REQUIRED,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0456,8.1.31.10.6 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,RECOMMENDED,component_descriptive_metadata,Component identity and metadata,Component inventory and identity,generator-population,inventory/provenance,Descriptive Metadata
CDX-0457,8.1.31.11 Properties,Each item of this array must be a Lightweight name-value pair object.,REQUIRED,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0458,8.1.31.11 Properties,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,property_taxonomy_normalization,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Property Taxonomies
CDX-0459,8.1.31.11 Properties,Formal registration is optional.,MAY,property_taxonomy_normalization,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Property Taxonomies
CDX-0460,8.1.31.11.2 Name,The name property is Required.,REQUIRED,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0461,8.1.31.11.3 Value,The value property is Optional.,MAY,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0462,8.1.32 AI/ML Model Card,The modelCard property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0463,8.1.32 AI/ML Model Card,This object SHOULD be specified for any component of type machine-learning-model.,RECOMMENDED,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0464,8.1.32 AI/ML Model Card,This object must not be specified for other component types.,REQUIRED,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0465,8.1.32 AI/ML Model Card,The bom-ref property is Optional.,MAY,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0466,8.1.32 AI/ML Model Card,Every bom-ref must be unique within the BOM.,REQUIRED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0467,8.1.32 AI/ML Model Card,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0468,8.1.32 AI/ML Model Card,The modelParameters property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0469,8.1.32 AI/ML Model Card,The quantitativeAnalysis property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0470,8.1.32 AI/ML Model Card,The considerations property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0471,8.1.32 AI/ML Model Card,The properties property is Optional.,MAY,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0472,8.1.32 AI/ML Model Card,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,property_taxonomy_normalization,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Property Taxonomies
CDX-0473,8.1.32 AI/ML Model Card,Formal registration of properties is optional.,MAY,property_taxonomy_normalization,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Property Taxonomies
CDX-0474,8.1.32 AI/ML Model Card,Each item of the properties array must be a Lightweight name-value pair object.,REQUIRED,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0475,8.1.32.2 Model Parameters,The approach property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0476,8.1.32.2 Model Parameters,The task property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0477,8.1.32.2 Model Parameters,The architectureFamily property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0478,8.1.32.2 Model Parameters,The modelArchitecture property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0479,8.1.32.2 Model Parameters,The datasets property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0480,8.1.32.2 Model Parameters,The inputs property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0481,8.1.32.2 Model Parameters,The outputs property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0482,8.1.32.2.1 Approach,The approach property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0483,8.1.32.2.1 Approach,The type property is Optional.,MAY,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0484,8.1.32.2.6 Datasets,Each item in datasets Must be one of: Inline Data Information.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0485,8.1.32.2.6 Datasets,Each item in datasets Must be one of: Data Reference.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0486,8.1.32.2.7 Inline Data Information,The bom-ref property for inline data information is Optional.,MAY,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0487,8.1.32.2.7 Inline Data Information,Every bom-ref must be unique within the BOM.,REQUIRED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0488,8.1.32.2.7 Inline Data Information,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0489,8.1.32.2.7 Inline Data Information,The type property for inline data information is Required.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0490,8.1.32.2.7 Inline Data Information,The name property for inline data information is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0491,8.1.32.2.7 Inline Data Information,The contents property for inline data information is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0492,8.1.32.2.7 Inline Data Information,The classification property for inline data information is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0493,8.1.32.2.7 Inline Data Information,The sensitiveData property for inline data information is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0494,8.1.32.2.7 Inline Data Information,The graphics property for inline data information is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0495,8.1.32.2.7 Inline Data Information,The description property for inline data information is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0496,8.1.32.2.7 Inline Data Information,The governance property for inline data information is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0497,8.1.32.2.8 Data Reference,The ref property for a Data Reference is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0498,8.1.32.2.10 Type of Data,The type property (under datasets) is Required.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0499,8.1.32.2.12 Data Contents,The attachment property for data contents is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0500,8.1.32.2.12 Data Contents,The url property for data contents is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0501,8.1.32.2.12 Data Contents,The properties property for data contents is Optional.,MAY,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0502,8.1.32.2.13 Data Attachment,The content property for attachment data is Required.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0503,8.1.32.2.13 Data Attachment,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,RECOMMENDED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0504,8.1.32.2.16 Attachment Text,The content property is Required.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0505,8.1.32.2.16 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,RECOMMENDED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0506,8.1.32.2.18 Configuration Properties,Each item of the properties array must be a Lightweight name-value pair object.,REQUIRED,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0507,8.1.32.2.19 Lightweight name-value pair,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,property_taxonomy_normalization,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Property Taxonomies
CDX-0508,8.1.32.2.19 Lightweight name-value pair,Formal registration of properties is optional.,MAY,property_taxonomy_normalization,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Property Taxonomies
CDX-0509,8.1.32.2.20 Name,The name property is Required.,REQUIRED,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0510,8.1.32.2.21 Value,The value property is Optional.,MAY,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0511,8.1.32.2.23 Sensitive Data,Each item of the sensitiveData array must be a string.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0512,8.1.32.2.32 Attachment Text,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,RECOMMENDED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0513,8.1.32.2.32 Attachment Text,The content property is Required.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0514,8.1.32.2.35 Data Custodians,The custodians property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0515,8.1.32.2.83 Data Owners,The owners property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0516,8.1.32.2.110 Inputs,Each item of the inputs array must be an Input and Output Parameters object.,REQUIRED,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0517,8.1.32.2.113 Outputs,Each item of the outputs array must be an Input and Output Parameters object.,REQUIRED,ml_model_card_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,AI/ML Model Cards (ML-BOM)
CDX-0518,8.1.33 Data,The data property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0519,8.1.33 Data,This object SHOULD be specified for any component of type data.,RECOMMENDED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0520,8.1.33 Data,This object must not be specified for other component types.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0521,8.1.33 Data,Each item of the data array must be a Data object.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0522,8.1.33 Data,The bom-ref property is Optional.,MAY,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0523,8.1.33 Data,Every bom-ref must be unique within the BOM.,REQUIRED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0524,8.1.33 Data,The bom-ref Value SHOULD not start with the BOM-Link intro 'urn:cdx:' to avoid conflicts with BOM-Links.,RECOMMENDED,bom_ref_identity_links,BOM identity and references,"Provenance, identity, and trust",generator-population,provenance,Internal Referencing (bom-ref)
CDX-0525,8.1.33 Data,The type property is Required.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0526,8.1.33 Data,The name property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0527,8.1.33 Data,The contents property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0528,8.1.33 Data,The classification property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0529,8.1.33 Data,The sensitiveData property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0530,8.1.33 Data,The graphics property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0531,8.1.33 Data,The description property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0532,8.1.33 Data,The governance property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0533,8.1.33.1.2 Type of Data,The type property is Required.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0534,8.1.33.1.4 Data Contents,The attachment property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0535,8.1.33.1.4 Data Contents,The url property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0536,8.1.33.1.4 Data Contents,The properties property is Optional.,MAY,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0537,8.1.33.1.5 Data Attachment,Proactive controls such as input validation and sanitization should be employed to prevent misuse of attachment text.,RECOMMENDED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0538,8.1.33.1.10 Configuration Properties,Each item of this array must be a Lightweight name-value pair object.,REQUIRED,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0539,8.1.33.1.11 Lightweight name-value pair,Property names of interest to the general public are encouraged to be registered in the CycloneDX Property Taxonomy.,RECOMMENDED,property_taxonomy_normalization,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Property Taxonomies
CDX-0540,8.1.33.1.11 Lightweight name-value pair,Formal registration is optional.,MAY,property_taxonomy_normalization,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Property Taxonomies
CDX-0541,8.1.33.1.12 Name,The name property is Required.,REQUIRED,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0542,8.1.33.1.13 Value,The value property is Optional.,MAY,extension_property_population,Extension and annotation mechanisms,Structural conformance and validation,shared-validation,inventory/provenance,Extensibility via Properties
CDX-0543,8.1.33.1.15 Sensitive Data,Each item of the sensitiveData array must be a string.,REQUIRED,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0544,8.1.33.1.16 Graphics Collection,The collection property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0545,8.1.33.1.27 Data Custodians,The custodians property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0546,8.1.33.1.75 Data Owners,The owners property is Optional.,MAY,data_governance_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Data Components and Governance
CDX-0547,8.1.34 Cryptographic Properties,The cryptoProperties property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0548,8.1.34 Cryptographic Properties,The assetType property is Required.,REQUIRED,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0549,8.1.34 Cryptographic Properties,The algorithmProperties property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0550,8.1.34 Cryptographic Properties,The certificateProperties property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0551,8.1.34 Cryptographic Properties,The relatedCryptoMaterialProperties property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0552,8.1.34 Cryptographic Properties,The protocolProperties property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0553,8.1.34 Cryptographic Properties,The oid property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0554,8.1.34.1 Asset Type,The assetType property is Required.,REQUIRED,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0555,8.1.34.1 Asset Type,The assetType value Must be one of: algorithm.,REQUIRED,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0556,8.1.34.1 Asset Type,The assetType value Must be one of: certificate.,REQUIRED,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0557,8.1.34.1 Asset Type,The assetType value Must be one of: protocol.,REQUIRED,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0558,8.1.34.1 Asset Type,The assetType value Must be one of: related-crypto-material.,REQUIRED,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0559,8.1.34.2 Algorithm Properties,The algorithmProperties property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0560,8.1.34.2 Algorithm Properties,The primitive property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0561,8.1.34.2 Algorithm Properties,The parameterSetIdentifier property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0562,8.1.34.2 Algorithm Properties,The curve property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0563,8.1.34.2 Algorithm Properties,The executionEnvironment property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0564,8.1.34.2 Algorithm Properties,The implementationPlatform property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0565,8.1.34.2 Algorithm Properties,The certificationLevel property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0566,8.1.34.2 Algorithm Properties,The mode property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0567,8.1.34.2 Algorithm Properties,The padding property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0568,8.1.34.2 Algorithm Properties,The cryptoFunctions property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0569,8.1.34.2 Algorithm Properties,The classicalSecurityLevel property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0570,8.1.34.2 Algorithm Properties,The nistQuantumSecurityLevel property is Optional.,MAY,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0571,8.1.34.2.1 primitive,The primitive value Must be one of: drbg.,REQUIRED,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0572,8.1.34.2.1 primitive,The primitive value Must be one of: mac.,REQUIRED,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0573,8.1.34.2.1 primitive,The primitive value Must be one of: block-cipher.,REQUIRED,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
CDX-0574,8.1.34.2.1 primitive,The primitive value Must be one of: stream-cipher.,REQUIRED,cryptographic_asset_modeling,Specialized BOM extensions,Specialized security data models,generator-population,inventory/provenance,Cryptographic Asset Management (CBOM)
